date,category,spend_amount,location,age_group,payment_method
2022-01-01,Groceries,125.50,Dallas,25-34,Debit
2022-01-01,Entertainment,55.00,Austin,18-24,Credit
2022-01-02,Travel,200.00,Houston,35-44,Credit
2022-01-03,Groceries,142.25,Dallas,45-54,Cash
2022-01-03,Utilities,90.00,San Antonio,55-64,Debit
2022-01-04,Healthcare,35.00,Houston,65+,Debit
2022-01-04,Online Shopping,110.40,Austin,25-34,Credit
2022-01-05,Entertainment,75.00,Dallas,18-24,Cash
2022-01-06,Travel,0.00,Houston,25-34,Debit
2022-01-06,Groceries,160.70,San Antonio,35-44,Credit
2022-01-07,Healthcare,95.80,Austin,45-54,Credit
2022-01-08,Online Shopping,80.00,Dallas,55-64,Debit
2022-01-09,Utilities,110.20,Houston,65+,Credit
2022-01-10,Entertainment,,Austin,18-24,Cash
2022-01-11,Groceries,128.90,Dallas,25-34,Credit
2022-01-12,Healthcare,55.00,San Antonio,35-44,Debit
2022-01-13,Travel,180.00,Houston,45-54,Credit
2022-01-14,Online Shopping,95.50,Austin,55-64,Debit
2022-01-15,Groceries,140.10,San Antonio,65+,Debit
2022-01-16,Utilities,0.00,Houston,25-34,Credit
2022-01-17,Entertainment,65.00,Dallas,18-24,Cash
2022-01-18,Travel,220.00,San Antonio,35-44,Debit
2022-01-19,Groceries,132.80,Houston,45-54,Credit
2022-01-20,Healthcare,48.00,Austin,55-64,Debit
2022-01-21,Online Shopping,120.20,Dallas,65+,Credit
2022-01-22,Utilities,102.00,San Antonio,25-34,Cash
2022-01-23,Entertainment,70.00,Houston,35-44,Debit
2022-01-24,Travel,185.00,Austin,45-54,Credit
2022-01-25,Groceries,145.00,Dallas,55-64,Debit
2022-01-26,Dining,48.25,El Paso,25-34,Mobile
2022-01-27,Clothing,102.50,Dallas,35-44,Credit
2022-01-28,Groceries,138.75,Houston,45-54,Debit
2022-01-29,Entertainment,66.00,Austin,18-24,Cash
2022-01-30,Travel,210.00,San Antonio,55-64,Debit
